DENOMINACIÓN;LOCALIDAD;PROVINCIA;FECHA DE CELEBRACION DE LA FIESTA ;FECHA_Resolucion;FIESTAS_de_interes_turistico;FIESTAS_INTERES_REGIONAL;FECHA_BOE;FECHA_ACTUALIZACION_BOE;OBSERVACIONES
FIESTA GANCHERA;VARIOS MUNICIPIOS DEL ALTO TAJO: TARAVILLA, POVEDA DE LA SIERRA, PEÑALÉN, ZAOREJAS Y PERALEJOS DE LAS TRUCHAS;GUADALAJARA;Primer sábado de septiembre;23/05/2008;;30/05/2008;;;Primer sábado de septiembre
BELÉN VIVIENTE;VEGA DEL CODORNO;CUENCA;Sábado anterior a Nochebuena;05/12/2012;;31/01/2013;;;Último sábado anterior a Nochebuena
AUTO DE ADORACIÓN DE LOS REYES MAGOS;VIANOS;ALBACETE;5 de enero;18/10/2019;;19/12/2019;;;el 5 de enero
DANZANTES Y STMO. CRISTO DE LA VIGA;VILLACAÑAS;TOLEDO;Del 27 de abril al 1 de mayo;27/11/1991;;11/12/1991;;;
SEMANA SANTA;VILLACAÑAS;TOLEDO;Fecha variable según calendario nacional ;10/12/2018;;18/12/2018;;;
FIESTA DE ÁNIMAS Y CARNAVAL;VILLAFRANCA DE LOS CABALLEROS;TOLEDO;Fecha variable según calendario nacional;29/12/2014;;07/01/2015;;;Fin de semana anterior a Miércoles de Ceniza
FIESTAS Y ENCIERROS DE SAN MIGUEL ARCÁNGEL;VILLAMANRIQUE;CIUDAD REAL;29 de septiembre-3 de octubre;12/12/2014;;26/12/2014;;;
FIESTAS DE MAYO;VILLAMAYOR DE CALATRAVA;CIUDAD REAL;30 de abril-3 de mayo;20/12/2013;;22/01/2014;;;
FIESTA EN HONOR A LA VIRGEN DE LA PIEDAD;VILLANUEVA DE ALCARDETE;TOLEDO;Noviembre;25/09/2017;;29/09/2017;;;
REPRESENTACIÓN DE LA PASIÓN DE CRISTO;VILLANUEVA DE BOGAS;TOLEDO;Fecha variable según calendario nacional;26/02/2019;;11/03/2019;;;
